"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000026112",1197.65309133892,-0.142570579204306,0.133145903016454,-1.07078457522412,0.284266304043411,0.951808576638601
"ENSMUSG00000026113",232.757094213931,-0.270262529621996,0.198133503412853,-1.36404255194967,0.172554173672429,0.867066433994094
"ENSMUSG00000026116",530.389302594274,-0.162219586909934,0.143789054722853,-1.12817757389535,0.259244932998465,0.940562141528252
"ENSMUSG00000026117",75.2857736373926,1.39476020892622,0.289746572504056,4.81372461759385,1.48142917001996e-06,0.000178939781942981
"ENSMUSG00000026121",41.8879742360074,-0.619908638771902,0.402128217576896,-1.54156960808989,0.123178215681487,0.776482879119684
"ENSMUSG00000026123",235.400936436348,-0.14138147005822,0.175632567903702,-0.804984358799209,0.420828705802026,0.987170879480158
"ENSMUSG00000026126",8.67606774030196,0.667166401247407,0.765489706536477,0.871555026214601,0.383451174623095,0.981611386655388
"ENSMUSG00000026127",224.048859197477,-0.0115629700941576,0.214090469121923,-0.0540097377598469,0.956927405956856,0.999444052881474
"ENSMUSG00000026131",1549.08640207053,0.385078746645018,0.167560827085207,2.29814302867579,0.0215536499635157,0.347690095014064
"ENSMUSG00000026134",27.6237951528773,-0.170044968980836,0.477752695210125,-0.355926760195559,0.721895414662348,0.99926898042189
"ENSMUSG00000026135",127.273231455364,-0.175111523031909,0.268704716800567,-0.651687566623095,0.51460274502292,0.998756100934664
"ENSMUSG00000026142",234.49255860805,-0.0488135568881598,0.191924148140825,-0.254337754581788,0.799234634595499,0.99926898042189
"ENSMUSG00000026150",271.839885891671,-0.0998972731807759,0.205616538542167,-0.485842597531566,0.627078769720749,0.99926898042189
"ENSMUSG00000026153",376.689018632313,-0.254316867009432,0.214392670925991,-1.1862199669,0.235535443028256,0.928039656273708
"ENSMUSG00000026154",80.3423862147057,0.183911280914411,0.304002830105621,0.604965686834277,0.54520179613131,0.998756100934664
"ENSMUSG00000026155",261.765466800459,-0.229301285612397,0.195038735796843,-1.17567048758582,0.239726576296115,0.929045151872602
"ENSMUSG00000026156",10.553886507894,-0.950860557203708,0.763088706471404,-1.24606818203427,0.212739364828701,0.908904867207464
"ENSMUSG00000026158",174.12971502878,0.191470265334412,0.199648839027106,0.959035205350811,0.337541010023581,0.971779302397212
"ENSMUSG00000026159",217.230855708785,-0.309784489044431,0.214975843746641,-1.44101999389999,0.14957903434106,0.829214818360124
"ENSMUSG00000026162",25.263650549368,0.0843211804487556,0.484059890852135,0.174195759744352,0.861711617827335,0.99926898042189
"ENSMUSG00000026170",5278.05322700752,-0.153679403582295,0.139464192560458,-1.10192731740568,0.270493271343433,0.94479883980853
"ENSMUSG00000026171",152.242300293091,-0.171366547357542,0.25851457052998,-0.66288931802267,0.507401443543915,0.998756100934664
"ENSMUSG00000026172",119.508019433669,-0.0804776215639746,0.24832954615818,-0.324075901595344,0.745880570955585,0.99926898042189
"ENSMUSG00000026174",197.757717606633,-0.0159579571109346,0.205912838104423,-0.0774986021165029,0.938226903280408,0.999444052881474
"ENSMUSG00000026176",1512.24106211235,0.224912195919239,0.192678660520797,1.16729167262901,0.243092600435555,0.93155191247641
"ENSMUSG00000026177",115.720272275726,0.203976185307701,0.308823348642513,0.660494700948986,0.50893641791983,0.998756100934664
"ENSMUSG00000026179",878.54446987391,-0.305234862018897,0.143011457738214,-2.13433851277592,0.0328150808494593,0.429192383342762
"ENSMUSG00000026180",8.40871129130688,-0.317421789149869,0.906809981175433,-0.350042231271448,0.726307004129104,0.99926898042189
"ENSMUSG00000026181",372.872723789949,0.0384866658697132,0.171956726777317,0.223815994820332,0.822900483603042,0.99926898042189
"ENSMUSG00000026185",126.041707275254,1.70348794010953,0.833927876100681,2.04272814104114,0.0410793574661763,0.488782913364582
"ENSMUSG00000026187",271.550775754657,-0.114816439703142,0.188093462344653,-0.610422277690641,0.541582114458344,0.998756100934664
"ENSMUSG00000026188",2.24364458107963,1.1764095090421,1.81463446350982,0.648290073123995,0.516797353346276,NA
"ENSMUSG00000026189",1677.67865015056,-0.0355156847908844,0.124786377135618,-0.284611875159144,0.775941512317087,0.99926898042189
"ENSMUSG00000026192",263.309919171791,-0.0209598556191125,0.20493318451929,-0.102276533047968,0.918537181530316,0.999444052881474
"ENSMUSG00000026193",16324.3820645006,0.171833221301672,0.137140589985533,1.25297128530509,0.210216157001523,0.907041808957985
"ENSMUSG00000026196",4.22469740690136,0.381774950691202,1.0716585213407,0.356246829646426,0.721655724344682,0.99926898042189
"ENSMUSG00000026197",210.758414880994,0.093331129022661,0.222559594513427,0.419353428580363,0.674957854612834,0.99926898042189
"ENSMUSG00000026198",698.993073977263,-0.0152299364643679,0.146991496439503,-0.103611003583708,0.917478055069327,0.999444052881474
"ENSMUSG00000026199",247.600403841572,0.116727787090374,0.209382009730288,0.557487184504223,0.57719461267265,0.99926898042189
"ENSMUSG00000026200",35.0412341544797,0.810322045394177,0.395672804182071,2.04795992251543,0.0405639265408753,0.486799884182378
"ENSMUSG00000026201",606.522533764855,-0.111127444604405,0.161589119402271,-0.687716134696893,0.49163155745756,0.998756100934664
"ENSMUSG00000026202",1447.26531735749,-0.430745231717117,0.171378171380546,-2.51341946437651,0.0119567074291264,0.248249950186362
"ENSMUSG00000026203",232.066189146711,0.283193843964342,0.216116371792783,1.31037663465808,0.190068453955661,0.885008155079176
"ENSMUSG00000026204",1.94048043596487,-0.471956140985599,1.68554190831343,-0.280002614386399,0.779475499098994,NA
"ENSMUSG00000026207",8.05177077032556,0.681479064859921,0.84713978321543,0.804447009055905,0.421138861415573,0.987170879480158
"ENSMUSG00000026208",36.6025005749581,0.72984519180806,0.437714985454935,1.66739822957969,0.0954352456826829,0.704827556599591
"ENSMUSG00000026209",452.281535971499,0.283509104160634,0.154337520198146,1.83694220171901,0.0662184283466966,0.608878400955723
"ENSMUSG00000026211",9.5169898745577,-0.67225740217132,0.828520779278339,-0.811394739860202,0.417139018926961,0.987170879480158
"ENSMUSG00000026213",84.7508423934122,0.622019241499791,0.344384174939066,1.80617835186489,0.0708904852501784,0.625853002434052
"ENSMUSG00000026219",1776.500569034,-0.0422312810296369,0.145003651258397,-0.29124288018362,0.770865569624798,0.99926898042189
"ENSMUSG00000026222",134.466048362747,-0.203750372841586,0.289920150956435,-0.702780997351931,0.482192241330083,0.998756100934664
"ENSMUSG00000026223",288.350718556334,0.019068376699815,0.170987440530056,0.111519165622362,0.911204668424457,0.999444052881474
"ENSMUSG00000026227",545.409345311003,-0.277043208739805,0.14727950770912,-1.88107098569999,0.059962263225396,0.57437739828479
"ENSMUSG00000026229",1478.55735083199,-0.0585729333993324,0.13533317803098,-0.43280542326379,0.665156133084603,0.99926898042189
"ENSMUSG00000026234",1506.83551080047,0.0858461637045926,0.112103767926143,0.765774115292451,0.443810718509092,0.991238058097643
"ENSMUSG00000026235",3.86171770234337,1.07554599583927,1.11129114583772,0.967834576805251,0.333126992338749,0.971779302397212
"ENSMUSG00000026238",1492.60292222696,0.141634880506785,0.174661595953443,0.810910261833052,0.417417206756925,0.987170879480158
"ENSMUSG00000026239",41.2866478260771,-0.0999068888434448,0.393950635792446,-0.253602557697308,0.799802620464314,0.99926898042189
"ENSMUSG00000026240",108.341845700349,-0.303983458265881,0.375335011637511,-0.809899020450191,0.417998214880378,0.987170879480158
"ENSMUSG00000026245",410.30771292036,0.0356887880419933,0.17039790416421,0.209443820433381,0.834101787480714,0.99926898042189
"ENSMUSG00000026248",167.74531842713,0.041609343111004,0.215877987906547,0.19274472360293,0.847158895756562,0.99926898042189
"ENSMUSG00000026249",241.823067122984,0.380445151079946,0.256052525653884,1.48580901558537,0.137329644791396,0.805490143176381
"ENSMUSG00000026254",445.066872022688,-0.0480958788026533,0.177373109640004,-0.271156540584244,0.786270636749948,0.99926898042189
"ENSMUSG00000026255",2.16910900459474,-0.436571897185984,1.43505867386366,-0.304218848425608,0.760961165990797,NA
"ENSMUSG00000026259",219.626203922619,0.278819413518977,0.190934976529863,1.46028464028103,0.144211861620785,0.818221757109719
"ENSMUSG00000026260",1186.21447378334,-0.124415002464166,0.119440920225099,-1.04164470794175,0.297576432689925,0.962379976887072
"ENSMUSG00000026269",633.072234758485,0.0191960291269138,0.198729624777203,0.0965936968302266,0.923049062288894,0.999444052881474
"ENSMUSG00000026270",181.162169067128,-0.160041550699693,0.219431957760269,-0.729344769710068,0.465790793047603,0.995968466440135
"ENSMUSG00000026271",9.118476275658,-0.168898748079336,0.768067670778755,-0.219900868771221,0.825948359691527,0.99926898042189
"ENSMUSG00000026272",2069.52149174522,-0.126529915329913,0.148633173599572,-0.851289872009279,0.394608349580627,0.981611386655388
"ENSMUSG00000026273",122.765361241605,0.173087996776924,0.223294842707891,0.77515447592918,0.438248384801887,0.99021393068559
"ENSMUSG00000026274",9.98575828097102,0.00176574444747356,0.789687809188079,0.00223600317356934,0.998215929076543,0.999966286131507
"ENSMUSG00000026275",231.524224604371,-0.109636649837835,0.240048096372503,-0.456727845355219,0.647866673870459,0.99926898042189
"ENSMUSG00000026276",861.699909677988,0.0930617273042913,0.160031742162453,0.58152042867734,0.560889754033826,0.99926898042189
"ENSMUSG00000026277",455.144066812749,-0.228409018655219,0.162294406696122,-1.40737455655443,0.159316351779657,0.854190919664512
"ENSMUSG00000026278",68.0217421196301,-0.693367285794975,0.328205117514326,-2.11260351772154,0.0346347173896581,0.440554791316909
"ENSMUSG00000026279",92.1993061851045,-0.361714713617427,0.269018845363303,-1.34457016618647,0.178764083129335,0.870651907713277
"ENSMUSG00000026280",290.576471044486,-0.0179933161823934,0.208611932971151,-0.0862525739832999,0.931265638391034,0.999444052881474
"ENSMUSG00000026281",140.343417313353,-0.154839026783398,0.222565034769558,-0.69570239073589,0.486615228020567,0.998756100934664
"ENSMUSG00000026283",114.28976042268,-0.19652552298218,0.243252710095989,-0.807906817994462,0.419144226104282,0.987170879480158
"ENSMUSG00000026288",73.8954592929909,0.805699232483893,0.27285148632493,2.95288562776752,0.00314818580793808,0.0972403254647319
"ENSMUSG00000026289",376.026773137347,-0.0711895978344521,0.15453305332847,-0.460675540288031,0.645031406167993,0.99926898042189
"ENSMUSG00000026295",650.062919484347,0.0646520232976146,0.157948673297032,0.409322990488389,0.682302645787059,0.99926898042189
"ENSMUSG00000026303",17.330686505162,-0.244129478207024,0.616495399257852,-0.395995620568963,0.692108258991818,0.99926898042189
"ENSMUSG00000026304",127.374505138432,-0.221225486210305,0.215349213268235,-1.02728718091368,0.304285256796739,0.965582384469267
"ENSMUSG00000026305",354.30975866131,-0.125020807194755,0.160090438914926,-0.78093862470571,0.434838593503532,0.98800670552206
